,Layer,accuracy,precision,recall,F1,Sensitivity,Specificity
0,0,0.7709280138768431,0.5915102137206282,0.510977942113987,0.5483028006184072,0.510977942113987,0.8680964636354971
1,1,0.7712749349522984,0.5967612088184295,0.4914701007267627,0.53902196864818,0.4914701007267627,0.8758650271661425
2,2,0.7674102341717259,0.5923678489145602,0.4655106464363126,0.5213331048663468,0.4655106464363126,0.880259269850348
3,3,0.775805724197745,0.6177303271139611,0.46181308172893026,0.5285122278643554,0.46181308172893026,0.8931751024687827
4,4,0.7769852558542931,0.6164893441812972,0.4772663521611628,0.5380170753442379,0.4772663521611628,0.8890191592793824
5,5,0.7682220294882914,0.5922632281013784,0.47553232181563176,0.527517291127424,0.47553232181563176,0.8776284434277
6,6,0.777103209019948,0.6078031869602238,0.5096774193548387,0.5544321003065229,0.5096774193548387,0.87706605661996
7,7,0.7691934084995663,0.5890931959750838,0.5016192783373709,0.5418485820926358,0.5016192783373709,0.8692117052711849
8,8,0.7642185602775369,0.5786420606534219,0.4909345913553487,0.5311922302237674,0.4909345913553487,0.8663711752931084
9,9,0.7762497831743278,0.605391341179318,0.5102639296187683,0.5537720706260032,0.5102639296187683,0.8756743875702984
10,10,0.7546782307025152,0.5492519021600367,0.5485655998979982,0.548908536507572,0.5485655998979982,0.831722428748451
11,11,0.7560450997398092,0.5550876239641354,0.5209741170470483,0.5374901341752171,0.5209741170470483,0.8439138309026785
